#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
G|EDA|3.778868|10.153427|140.0|Edea, Cameroon|2019-05-04T00:00:00.0000|
G|FDFM|14.73493|-61.159728|320.0|Morne la Rosette, Martinique, France|2019-10-24T00:00:00.0000|
G|FOMA|-24.97565|46.978877|28.0|Nahampoana Reserve - Fort Dauphin, Madagascar|2008-09-01T00:00:00.0000|
G|FUTU|-14.307673|-178.12107|97.0|Maopo'opo, Futuna|2016-06-26T00:00:00.0000|
G|HDC|10.00201|-84.11142|1186.0|Heredia, Costa Rica|1997-03-08T00:00:00.0000|
G|INU|35.35|137.029|132.0|Inuyama, Japan|1987-03-04T00:00:00.0000|
G|IVI|61.205808|-48.171178|15.0|Ivittuut, Greenland|2011-09-12T00:00:00.0000|
G|KIP|21.42|-158.0112|110.0|Kipapa, Hawaii, USA|1986-04-17T00:00:00.0000|
G|MNMCX|-19.131114|-69.595699|2304.0|Minimi, Chile|2026-03-26T00:00:00.0000|
G|MPG|5.11011|-52.644483|147.0|Montagne des Peres - French Guiana, France|2000-07-03T00:00:00.0000|
G|NOUC|-22.09863|166.30665|137.0|Port Laguerre - New Caledonia, France|1988-03-21T00:00:00.0000|
G|PAF|-49.351|70.210708|17.0|Port aux Francais - Kerguelen - TAAF, France|1983-01-01T00:00:00.0000|
G|PEL|-33.143607|-70.67494|700.0|Peldehue, Chile|1995-10-04T00:00:00.0000|
G|PPTF|-17.5896|-149.56525|705.0|Pamatai - Papeete - Tahiti island - French Polynesia, France|2009-04-25T00:00:00.0000|
G|RER|-21.1712|55.73986|834.0|Riviere de l'Est - Sainte Rose - La Reunion island, France|1986-02-10T00:00:00.0000|
G|ROCAM|-19.75553|63.37014|52.0|Leguat Reserve, Rodrigues Island, Republic of Mauritius|2012-12-15T00:00:00.0000|
G|SANVU|-15.447148|167.203231|56.0|Espiritu Santo, Vanuatu|2011-11-01T00:00:00.0000|
G|SOK|14.494418|-16.456223|70.9|Sop - Niakhar, Senegal|2020-03-08T12:00:00.0000|
G|SPB|-23.592691|-47.426979|647.0|Sao Paulo, Brazil|1996-06-17T00:00:00.0000|
G|SSB|45.279|4.542|700.0|Tunnel de Badole - Saint Sauveur en Rue, France|1982-05-02T00:00:00.0000|
G|STPA|-38.71418|77.53123|47.0|Saint-Paul, district d'Amsterdam, TAAF, France|2023-04-06T10:14:28.9380|
G|TAM|22.79149|5.52838|1410.0|Tamanrasset, Algeria|1983-11-16T00:00:00.0000|
G|TRIS|-37.0681|-12.3152|60.0|Tristan da Cunha|2004-03-03T00:00:00.0000|
G|UNM|19.329662|-99.178065|2280.0|Unam - Mexico, Mexico|1990-06-06T00:00:00.0000|
G|WUS|41.200716|79.216498|1468.0|Wushi - Xinjiang Uygur, China|1988-10-31T00:00:00.0000|
G7|BOB2|-1.706278|29.013214|1566.0|Bobandana|2024-05-18T08:40:00.0000|
G7|BUL2|-1.633014|29.140486|1482.0|Bulengo2|2024-05-18T08:51:00.0000|
G7|BURU|-1.336565|29.026229|1879.0|Burunga|2024-05-18T08:40:00.0000|
G7|GOM2|-1.681242|29.226703|1524.0|Goma|2024-05-17T09:45:00.0000|
G7|IDJ2|-2.064221|29.060623|1566.0|Idjwi|2024-05-18T08:59:00.0000|
G7|KAL2|-2.107101|28.920913|1508.0|Kalehe|2024-05-18T08:44:00.0000|
G7|KTS2|-1.23839|29.049902|2029.0|Kitchanga|2024-05-18T08:40:00.0000|
G7|LWI2|-2.239167|28.802493|1760.0|Lwiro|2024-05-18T08:58:00.0000|
G7|MTAN|-1.544667|28.932|1892.0|Matanda|2024-05-18T08:40:00.0000|
G7|MUN2|-1.625761|29.25526|1722.0|Munigi2|2024-05-18T08:40:00.0000|
G7|NYA2|-1.920967|28.936745|1976.0|Nyabibwe|2024-05-18T08:42:00.0000|
G7|RGB2|-1.345167|29.365|1610.0|Rumangabo|2024-05-17T11:10:00.0000|
G7|RSY2|-1.57699|29.179842|1680.0|Rusayo2|2024-05-17T11:10:00.0000|
GB|BIGH|58.49317|-3.91017|70.0|Upper Bighouse, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|CCA1|50.18667|-5.22767|210.0|Carnmenellis, Cornwall, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|CLGH|55.08283|-6.1105|239.0|Cushendall, Northern Ireland|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|CWF|52.7385|-1.30767|203.0|Charnwood Forest, Leicestershire, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|DRUM|56.91267|-2.4865|208.0|Drumtochty, Aberdeenshire, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|DYA|50.43533|-3.931|292.0|Yadsworthy, Devon, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|EDI|55.92333|-3.1875|125.0|Edinburgh, Lothian, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|EDMD|54.83117|-1.96217|0.0|Edmundbyers, County Durham, UK|2025-02-13T00:00:00.0000|2029-12-31T00:00:00.0000
GB|ELMS|52.09333|0.9895|74.0|Elmsett, Suffolk|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|ELSH|51.14817|1.13483|129.0|Elham Standardhill Farm, Kent, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|ESK|55.3165|-3.20517|261.0|Eskdalemuir, Dumfriesshire, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|FOEL|52.8895|-3.19983|447.0|Foel Wylfa Tregeiriog, Wales, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|GAL1|54.86633|-4.71133|117.0|Galloway, Dumfries & Galloway|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|GDLE|54.42183|-0.81567|228.0|Glaisdale, Yorkshire|2025-02-11T00:00:00.0000|2029-12-31T00:00:00.0000
GB|HLM1|52.51833|-2.88067|429.0|Long Mynd, Wales, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|HMNX|50.86733|0.33633|26.0|Herstmonceux, Sussex, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|HPK|53.95817|-1.62417|233.0|Haverah Park, North Yorkshire, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|HTL|50.99434|-4.48483|86.0|Hartland, Devon, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|INVG|56.42733|-4.04383|279.0|Invergeldie, Perth and Kinross, Scotland|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|IOMK|54.2605|-4.56617|188.0|Kirk Michael, Isle of Man|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|JSA|49.18783|-2.17167|39.0|St Aubins, Jersey, Channel Islands, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|KESW|54.58867|-3.10483|281.0|Keswick, Cumbria, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|KPL|57.33917|-5.65267|13.0|Plockton, Highlands, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|LAWE|56.26|-5.399|137.0|Loch Avich, Argyll And Bute, Scotland|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|LBWR|53.4015|-1.72467|353.0|Ladybower Resevoir, Derbyshire, England|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|LINV|58.147|-5.197|58.0|Lochinver, Highland|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|LMK|53.45683|-0.326|146.0|Market Rasen, Lincolnshire, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|LRW|60.136|-1.17783|98.0|Lerwick, Shetland Islands, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|MCH1|51.99733|-2.99833|219.0|Michaelchurch, Herefordshire, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|NEWG|55.11733|-4.23|151.0|New Galloway, Scotland|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|PGB1|55.8115|-4.48367|199.0|Glennifer Braes, Strathclyde, Scotland, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|RSBS|51.95284|-4.74483|278.0|, Rosebush Pembrokeshire, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
